ID,Material,E_MPa,L,W,H,Force_N,Angle,VM_Stress_MPa,Disp_mm
270,Aluminum_6061,69000,369.05,28.44,108.48,17237.03,134.43,85.977,0.9881
271,Magnesium_AZ31B,45000,1186.54,27.36,97.25,3484.83,143.05,58.716,12.361
272,Brass,105000,539.06,57.32,25.99,2625.63,109.3,207.634,14.695
273,Aluminum_6061,69000,984.23,20.2,24.32,219.51,130.92,82.281,31.5514
274,Steel_High_Carbon,210000,1001.75,22.59,76.8,10232.33,114.38,423.084,17.4393
275,Copper_Alloy,117000,1820.12,19.57,112.14,3644.47,124.25,134.661,22.5023
276,Brass,105000,1472.93,55.22,41.47,135.52,159.94,4.382,1.4369
277,Magnesium_AZ31B,45000,353.29,10.13,52.18,709.1,167.43,13.191,0.4204
278,Steel_Mild,200000,1921.65,45.44,96.43,7103.07,329.51,99.764,12.5535
279,Magnesium_AZ31B,45000,1899.0,52.57,85.59,742.8,244.31,19.88,12.3619
280,Titanium_6Al4V,114000,648.52,54.39,30.22,542.86,163.47,12.418,0.9847
281,Titanium_6Al4V,114000,1928.36,11.3,56.06,910.02,28.41,142.337,54.7188
282,Magnesium_AZ31B,45000,1347.43,32.35,94.84,4153.09,241.01,101.636,28.6253
283,Aluminum_6061,69000,553.82,12.62,100.41,6839.59,150.59,92.672,2.589
284,Copper_Alloy,117000,1285.16,55.17,51.38,1800.6,263.2,94.75,17.3385
285,Brass,105000,712.16,53.55,33.51,959.38,194.13,17.164,1.5993
286,Steel_High_Carbon,210000,1724.85,25.65,52.86,3710.54,77.8,524.318,93.5712
287,Magnesium_AZ31B,45000,1749.38,26.67,88.93,628.28,162.87,9.464,4.695
288,Copper_Alloy,117000,352.55,31.86,80.21,16643.2,181.49,10.985,0.044
289,Magnesium_AZ31B,45000,1487.2,57.27,83.39,290.0,328.64,3.434,1.3287
290,Brass,105000,1671.77,24.14,111.71,5326.81,116.61,159.531,25.19
291,Stainless_304,193000,479.5,26.38,104.49,2007.24,44.94,14.739,0.1077
292,Stainless_304,193000,1693.77,34.21,100.7,3173.24,321.97,58.015,5.6359
293,Magnesium_AZ31B,45000,529.27,29.79,57.41,4093.49,153.33,61.628,4.2959
294,Nylon_66,3000,1789.28,27.65,119.56,2620.68,21.89,27.285,157.9219
295,Polycarbonate,2400,287.98,19.65,119.84,6291.95,224.66,29.387,5.2103
296,Polycarbonate,2400,1260.95,19.97,48.0,437.13,10.21,13.191,117.2342
297,Steel_High_Carbon,210000,1971.73,48.54,54.64,3690.89,49.52,230.103,51.7675
298,Titanium_6Al4V,114000,428.94,52.17,97.21,3123.87,20.3,6.26,0.0627
299,Magnesium_AZ31B,45000,1700.48,51.28,81.49,5144.64,2.85,8.895,4.0293
300,Copper_Alloy,117000,1807.86,39.75,52.77,1176.85,10.36,21.293,7.3191
301,Nylon_66,3000,1295.89,23.08,66.91,148.28,191.89,2.393,12.822
302,Magnesium_AZ31B,45000,1395.19,33.61,95.74,6749.24,64.38,166.342,49.8089
303,Stainless_304,193000,1727.31,13.08,87.74,809.83,353.2,10.572,1.1593
304,Brass,105000,1029.56,31.34,58.22,166.35,283.56,9.428,1.0871
305,Stainless_304,193000,1125.98,19.3,61.2,2395.71,138.44,150.095,10.6291
306,Steel_High_Carbon,210000,1098.69,51.09,98.88,20409.74,303.93,225.905,8.6611
307,Aluminum_6061,69000,1753.48,22.87,71.68,1695.16,45.37,108.755,44.7647
308,Titanium_6Al4V,114000,474.83,36.2,93.05,103410.78,54.22,783.195,10.8057
309,Aluminum_6061,69000,1623.82,33.26,90.01,4395.73,246.24,146.096,41.1715
310,Steel_High_Carbon,210000,341.44,20.71,43.32,6474.27,131.97,258.935,2.1678
311,Steel_Mild,200000,698.33,56.89,33.23,2083.85,67.24,128.62,6.2697
312,Brass,105000,364.03,31.41,34.72,4003.34,242.6,206.887,4.9684
313,Magnesium_AZ31B,45000,1603.47,49.9,35.4,301.44,272.07,46.355,49.8697
314,Magnesium_AZ31B,45000,348.51,33.94,69.81,11335.84,27.56,70.781,1.7094
315,Aluminum_6061,69000,697.37,15.08,24.56,336.79,58.61,132.738,25.3017
316,Brass,105000,716.09,21.54,32.68,193.76,290.73,33.95,3.3719
317,Stainless_304,193000,1660.3,40.97,59.64,3202.75,314.22,157.838,25.0509
318,Brass,105000,1653.64,56.64,91.08,6071.22,64.39,116.15,22.0377
